Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAGS HI BAG	1069.00	72		0.0	1.0	3.5	68%	1	0	1	2020-08-02 00:24:17.749392
Desert Retail	1070.00	28	9-10 days	1.0	1.0009	4	79%	0	0	0	2020-08-02 00:24:17.749392
BAG STREET	1140.00	379		71.0	1.0664	4.5	91%	1	0	0	2020-08-02 00:24:17.749392
Cloudtail India	1145.00			76.0	1.0711	4.5	89%	1	1	0	2020-08-02 00:24:17.749392
THE CONNECT	1150.00	8	7-8 days	81.0	1.0758	4	75%	0	0	0	2020-08-02 00:24:17.749392
Deals7x24	1250.00	44	8-10 days	181.0	1.1693	4	73%	0	0	0	2020-08-02 00:24:17.749392
Balaji E	1358.00	34		289.0	1.2703	4	76%	1	0	0	2020-08-02 00:24:17.749392
YATEE TRADING COMPANY	1358.00	94		289.0	1.2703	4	78%	1	0	0	2020-08-02 00:24:17.749392
Ocean Bag	1330.00	6		261.0	1.2442	4.5	83%	0	0	0	2020-08-02 00:24:17.749392
BagStop	1351.00	58	10-14 days	282.0	1.2638	3.5	57%	0	0	0	2020-08-02 00:24:17.749392
Desert Retail	1350.00	28		281.0	1.2629	4	79%	0	0	0	2020-08-02 00:24:17.749392
eLITESPORTS	1506.00	594		437.0	1.4088	4.5	90%	0	0	0	2020-08-02 00:24:17.749392
cloudind	1649.00			580.0	1.5426	4.5	93%	0	0	0	2020-08-02 00:24:17.749392
Brands India	1690.00	249		621.0	1.5809	4	89%	1	0	0	2020-08-02 00:24:17.749392
SmileyEbiz	1699.00	1		630.0	1.5893	1	0%	0	0	0	2020-08-02 00:24:17.749392
V-THREE	1832.00	4	7-8 days	763.0	1.7138	4	75%	0	0	0	2020-08-02 00:24:17.749392
SmileyEbiz	1849.00	1		780.0	1.7297	1	0%	0	0	0	2020-08-02 00:24:17.749392
gsienterprises	1832.00	6		763.0	1.7138	3	50%	0	0	0	2020-08-02 00:24:17.749392
The Skool Shoppe	1961.00		9-10 days	892.0	1.8344			0	0	0	2020-08-02 00:24:17.749392
