Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	1419.00			0.0	1.0	4.5	89%	1	1	1	2020-08-02 00:24:17.749392
TODAY'S DEAL	1477.00			58.0	1.0409	4	81%	1	0	0	2020-08-02 00:24:17.749392
Verizoni LLC	1477.00			58.0	1.0409	3.5	70%	1	0	0	2020-08-02 00:24:17.749392
DEALS AMAZING	1498.00			79.0	1.0557	4	80%	1	0	0	2020-08-02 00:24:17.749392
BAG STREET	1525.00	379		106.0	1.0747	4.5	91%	1	0	0	2020-08-02 00:24:17.749392
Harricane	1530.00	251		111.0	1.0782	3.5	66%	1	0	0	2020-08-02 00:24:17.749392
World Market	1599.00	39		180.0	1.1268	4.5	93%	1	0	0	2020-08-02 00:24:17.749392
Bag Square	1750.00	19		331.0	1.2333	4	80%	1	0	0	2020-08-02 00:24:17.749392
VANYA SALES	1899.00	433		480.0	1.3383	4.5	89%	1	0	0	2020-08-02 00:24:17.749392
Adventure Hut	1899.00	9		480.0	1.3383	3	56%	0	0	0	2020-08-02 00:24:17.749392
Verizoni LLC	1899.00		4-5 days	480.0	1.3383	3.5	70%	0	0	0	2020-08-02 00:24:17.749392
