Price + Delivery	Condition	Seller Information	Delivery
  1,419.00 | Prime : Yes |  |   1,419.00	New	Cloudtail India | 4.5 out of 5 stars  | 90% positive | 1,315,576 total rating	Fullfilled by Amazon
  1,447.00 | Prime : Yes |  |   1,447.00	New	Verizoni LLC | 3.5 out of 5 stars  | 71% positive | 1,152 total rating	Fullfilled by Amazon
  1,498.00 | Prime : Yes |  |   1,498.00	New	TODAY'S DEAL | 4 out of 5 stars  | 80% positive | 5,874 total rating	Fullfilled by Amazon
  1,498.00 | Prime : Yes |  |   1,498.00	New	DEALS AMAZING | 4 out of 5 stars  | 80% positive | 1,268 total rating	Fullfilled by Amazon
  1,499.00 | Prime : Yes |  |   1,499.00	New	World Market | 4.5 out of 5 stars  | 92% positive | 38 total rating	Fullfilled by Amazon
  1,525.00 | Prime : Yes |  |   1,525.00	New	BAG STREET | 4.5 out of 5 stars  | 91% positive | 379 total rating	Fullfilled by Amazon
  1,750.00 | Prime : Yes |  |   1,750.00	New	Bag Square | 4 out of 5 stars  | 80% positive | 19 total rating	Fullfilled by Amazon
  1,899.00 | Prime : Yes |  |   1,899.00	New	VANYA SALES | 4.5 out of 5 stars  | 89% positive | 432 total rating	Fullfilled by Amazon
  1,899.00 | Prime : No |  | FREE Delivery.	New	Adventure Hut | 3 out of 5 stars  | 56% positive | 9 total rating	Not fulfilled by Amazon
  1,899.00 | Prime : No |  | +   59.00 Delivery	New	Verizoni LLC | 3.5 out of 5 stars  | 71% positive | 1,152 total rating	Not fulfilled by Amazon | 5-6 days
