Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
D-Cart	2130.00	168		0.0	1.0	4.5	83%	1	0	0	2020-09-02 01:24:54.634989
Click At Luggage	2130.00	714		0.0	1.0	4.5	95%	1	0	0	2020-09-02 01:24:54.634989
BoxWish	2130.00			0.0	1.0	4	85%	1	0	1	2020-09-02 01:24:54.634989
SuperNV *****	2195.00	24		65.0	1.0305	3.5	70%	1	0	0	2020-09-02 01:24:54.634989
DEALS AMAZING	2273.00			143.0	1.0671	4	77%	1	0	0	2020-09-02 01:24:54.634989
World Market	2289.00	44		159.0	1.0746	4.5	93%	1	0	0	2020-09-02 01:24:54.634989
CLOUD STATION	2295.00	126		165.0	1.0775	4	75%	1	0	0	2020-09-02 01:24:54.634989
Verizoni LLC	2363.00			233.0	1.1094	4	72%	1	0	0	2020-09-02 01:24:54.634989
BAG STREETS	2723.00	387		593.0	1.2784	4.5	91%	1	0	0	2020-09-02 01:24:54.634989
TODAY'S DEAL	2740.00			610.0	1.2864	4	78%	1	0	0	2020-09-02 01:24:54.634989
Verizoni LLC	2363.00		4-5 days	233.0	1.1094	4	72%	0	0	0	2020-09-02 01:24:54.634989
Stonehenge Retail	2799.00	211		669.0	1.3141	4	82%	1	0	0	2020-09-02 01:24:54.634989
PINNACLE RETAIL	2849.00	11	8-9 days	719.0	1.3376	3.5	73%	0	0	0	2020-09-02 01:24:54.634989
Be Fit 12013	2834.00	33	8-9 days	704.0	1.3305	3.5	61%	0	0	0	2020-09-02 01:24:54.634989
