Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
rockstarriyaz	1191.00	221		0.0	1.0	4	77%	1	0	1	2020-07-23 20:22:18.782926
BAGSANDLUGGAGE	1193.00	35	11-12 days	2.0	1.0017	2.5	40%	0	0	0	2020-07-23 20:22:18.782926
WOMAN ERA	1195.00	8		4.0	1.0034	4.5	88%	0	0	0	2020-07-23 20:22:18.782926
LAHAR SELECTION	1199.00		10-11 days	8.0	1.0067			0	0	0	2020-07-23 20:22:18.782926
Pastel Creations	1199.00		11-12 days	8.0	1.0067	4	83%	0	0	0	2020-07-23 20:22:18.782926
Standard enterprise	1283.00	83	12-13 days	92.0	1.0772	4	100%	0	0	0	2020-07-23 20:22:18.782926
Backpack World	1335.00	1		144.0	1.1209	4.5	89%	1	0	0	2020-07-23 20:22:18.782926
cloudind	1349.00			158.0	1.1327	4.5	90%	0	0	0	2020-07-23 20:22:18.782926
Viva Bags	1380.00		6-7 days	189.0	1.1587	4	75%	0	0	0	2020-07-23 20:22:18.782926
Bagz Hub	1400.00	8	7-8 days	209.0	1.1755	4	80%	0	0	0	2020-07-23 20:22:18.782926
BNBLUG	1400.00	46	5-6 days	209.0	1.1755			0	0	0	2020-07-23 20:22:18.782926
