Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
World Market	1410.00	36		0.0	1.0	4.5	96%	1	0	1	2020-07-13 08:26:42.382119
Cloudtail India	1411.00			1.0	1.0007	4.5	90%	1	1	0	2020-07-13 08:26:42.382119
DEALS AMAZING	1448.00			38.0	1.027	4	81%	1	0	0	2020-07-13 08:26:42.382119
TODAY'S DEAL	1448.00			38.0	1.027	4	81%	1	0	0	2020-07-13 08:26:42.382119
BAG STREET	1525.00	375		115.0	1.0816	4.5	91%	1	0	0	2020-07-13 08:26:42.382119
Harricane	1530.00	249		120.0	1.0851	3.5	66%	1	0	0	2020-07-13 08:26:42.382119
Bag Square	1750.00	19		340.0	1.2411	4	80%	1	0	0	2020-07-13 08:26:42.382119
VANYA SALES	1899.00	431		489.0	1.3468	4.5	88%	1	0	0	2020-07-13 08:26:42.382119
Adventure Hut	1899.00	9	6-7 days	489.0	1.3468	3	56%	0	0	0	2020-07-13 08:26:42.382119
Verizoni LLC	1899.00			489.0	1.3468	3.5	71%	0	0	0	2020-07-13 08:26:42.382119
