Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	849.00			29.0	1.0354	4.5	90%	1	1	1	2020-07-13 08:26:42.382119
RS ENTERPRISES	849.00	18		29.0	1.0354	4	78%	1	0	0	2020-07-13 08:26:42.382119
Catchy Bags	915.00	124		95.0	1.1159	4.5	96%	1	0	0	2020-07-13 08:26:42.382119
Backpack World	917.00		6-7 days	97.0	1.1183	4.5	94%	0	0	0	2020-07-13 08:26:42.382119
little bazar	820.00	22	8-9 days	0.0	1.0	4	73%	0	0	0	2020-07-13 08:26:42.382119
BagStop	930.00	58	8-9 days	110.0	1.1341	3.5	57%	0	0	0	2020-07-13 08:26:42.382119
Ocean Bag	990.00	6		170.0	1.2073	4.5	83%	0	0	0	2020-07-13 08:26:42.382119
V-THREE	1087.00	4	6-7 days	267.0	1.3256	4	75%	0	0	0	2020-07-13 08:26:42.382119
Standard enterprise	1050.00	1	9-10 days	230.0	1.2805	4	100%	0	0	0	2020-07-13 08:26:42.382119
Deepsum Bags	1150.00	4	7-8 days	330.0	1.4024	5	100%	0	0	0	2020-07-13 08:26:42.382119
gsienterprises	1160.00	6	7-8 days	340.0	1.4146	3	50%	0	0	0	2020-07-13 08:26:42.382119
Purvas Shoppe	1230.00	18	6-7 days	410.0	1.5	4.5	94%	0	0	0	2020-07-13 08:26:42.382119
