Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	299.00			100.0	1.5025	4.5	90%	1	1	1	2020-07-12 21:29:18.532923
INDIA RETAIL LOWEST PRICES	199.00	27	12-14 days	0.0	1.0	3	42%	0	0	0	2020-07-12 21:29:18.532923
V-THREE	319.00	4		120.0	1.603	4	75%	0	0	0	2020-07-12 21:29:18.532923
BAGS KART	325.00	76		126.0	1.6332	4.5	94%	1	0	0	2020-07-12 21:29:18.532923
LUGGAGE ESSENTIALS	350.00	5	7-8 days	151.0	1.7588	2	40%	0	0	0	2020-07-12 21:29:18.532923
VISION CORPORATION	399.00	42		200.0	2.005	4.5	100%	1	0	0	2020-07-12 21:29:18.532923
SSCREATION1999	400.00		7-8 days	201.0	2.0101			0	0	0	2020-07-12 21:29:18.532923
Big Bazaar	449.00			250.0	2.2563	3	56%	1	0	0	2020-07-12 21:29:18.532923
Easy Home Deals	449.00			250.0	2.2563	4	80%	1	0	0	2020-07-12 21:29:18.532923
Sumraj India Udyog	699.00	315	2-5 days	500.0	3.5126			0	0	0	2020-07-12 21:29:18.532923
LVDV	799.00		8-9 days	600.0	4.0151	4	69%	0	0	0	2020-07-12 21:29:18.532923
