Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
pacers	661.00	184	6-7 days	0.0	1.0	4.5	90%	0	0	0	2020-07-27 08:57:57.917475
Apace Pvt Ltd	672.00	89	8-9 days	11.0	1.0166	4	73%	0	0	0	2020-07-27 08:57:57.917475
Cloudtail India	677.00			16.0	1.0242	4.5	90%	1	1	1	2020-07-27 08:57:57.917475
Olympia Industries Ltd	725.00			64.0	1.0968	4.5	89%	1	0	0	2020-07-27 08:57:57.917475
TODAY'S DEAL	774.00			113.0	1.171	4	80%	1	0	0	2020-07-27 08:57:57.917475
Net Distribution Services Pvt Ltd	775.00	778		114.0	1.1725	4.5	86%	1	0	0	2020-07-27 08:57:57.917475
Nasher Miles Private Limited	789.00			128.0	1.1936	5	97%	1	0	0	2020-07-27 08:57:57.917475
Discount Junction	1099.00	414		438.0	1.6626	3.5	63%	0	0	0	2020-07-27 08:57:57.917475
Timex Avtansh	1099.00	2	7-8 days	438.0	1.6626	5	100%	0	0	0	2020-07-27 08:57:57.917475
Brand Cart	1176.00		7-8 days	515.0	1.7791	3.5	72%	0	0	0	2020-07-27 08:57:57.917475
