Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
AnandEnterprisesForU	1028.00	11		0.0	1.0	3.5	73%	1	0	0	2020-07-26 14:58:51.445655
E-Shop Retail	1029.00	80		1.0	1.001	4.5	85%	1	0	1	2020-07-26 14:58:51.445655
RS ENTERPRISES	1030.00	18		2.0	1.0019	4	78%	1	0	0	2020-07-26 14:58:51.445655
DEALS AMAZING	1045.00			17.0	1.0165	4	80%	1	0	0	2020-07-26 14:58:51.445655
Earth industries	1048.00	29		20.0	1.0195	3	44%	1	0	0	2020-07-26 14:58:51.445655
TODAY'S DEAL	1057.00			29.0	1.0282	4	80%	1	0	0	2020-07-26 14:58:51.445655
A Bags world	1059.50	62		31.5	1.0306	3.5	69%	1	0	0	2020-07-26 14:58:51.445655
BAGS HI BAG	1063.00	72		35.0	1.034	3.5	69%	1	0	0	2020-07-26 14:58:51.445655
THE CONNECT	1066.00	8	12-14 days	38.0	1.037	4	75%	0	0	0	2020-07-26 14:58:51.445655
E-TECH RETAIL	1099.00	1	14-15 days	71.0	1.0691	5	100%	0	0	0	2020-07-26 14:58:51.445655
cloudind	1130.00			102.0	1.0992	4.5	90%	0	0	0	2020-07-26 14:58:51.445655
Standard enterprise	1247.00	1		219.0	1.213	4	100%	0	0	0	2020-07-26 14:58:51.445655
Viva Bags	1249.00	8		221.0	1.215	4	75%	0	0	0	2020-07-26 14:58:51.445655
BagStop	1175.00	58	10-14 days	147.0	1.143	3.5	57%	0	0	0	2020-07-26 14:58:51.445655
Backpack World	1290.00		7-8 days	262.0	1.2549	4.5	89%	0	0	0	2020-07-26 14:58:51.445655
Deepsum Bags	1900.00	4	7-8 days	872.0	1.8482	5	100%	0	0	0	2020-07-26 14:58:51.445655
gsienterprises	1918.00	6	7-8 days	890.0	1.8658	3	50%	0	0	0	2020-07-26 14:58:51.445655
