Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Harricane	1448.00	252		0.0	1.0	3.5	65%	1	0	1	2020-08-02 17:32:56.735137
SSTZ	1570.00	91		122.0	1.0843	4	77%	1	0	0	2020-08-02 17:32:56.735137
Shrey marketing	1577.00	12		129.0	1.0891	4	83%	0	0	0	2020-08-02 17:32:56.735137
TODAY'S DEAL	1614.00			166.0	1.1146	4	80%	1	0	0	2020-08-02 17:32:56.735137
BAG STREET	1694.00	379		246.0	1.1699	4.5	91%	1	0	0	2020-08-02 17:32:56.735137
World Market	1899.00	39		451.0	1.3115	4.5	93%	1	0	0	2020-08-02 17:32:56.735137
Be Fit 12013	1889.00	31		441.0	1.3046	3.5	58%	0	0	0	2020-08-02 17:32:56.735137
ABS Attache and Bags Store	2000.00	25		552.0	1.3812	4	80%	1	0	0	2020-08-02 17:32:56.735137
BASTEY	2000.00			552.0	1.3812			0	0	0	2020-08-02 17:32:56.735137
ABS Attache and Bags Store	2050.00		7-8 days	602.0	1.4157	4	80%	0	0	0	2020-08-02 17:32:56.735137
