Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	1130.00	70		0.0	1.0	4	82%	1	0	1	2020-07-24 13:39:22.027209
BAGSANDLUGGAGE	1130.00	36	10-11 days	0.0	1.0	2.5	43%	0	0	0	2020-07-24 13:39:22.027209
Digitaly yours	1185.00	36	9-10 days	55.0	1.0487	3	53%	0	0	0	2020-07-24 13:39:22.027209
Catchy Bags	1195.00	124		65.0	1.0575	4.5	95%	1	0	0	2020-07-24 13:39:22.027209
Backpack World	1218.00		6-9 days	88.0	1.0779	4.5	89%	0	0	0	2020-07-24 13:39:22.027209
BagStop	1350.00	58		220.0	1.1947	3.5	57%	0	0	0	2020-07-24 13:39:22.027209
cloudind	1499.00		7-9 days	369.0	1.3265	4.5	90%	0	0	0	2020-07-24 13:39:22.027209
Harricane	1500.00	250	7-9 days	370.0	1.3274	3.5	66%	0	0	0	2020-07-24 13:39:22.027209
Standard enterprise	1550.00	1	12-13 days	420.0	1.3717	4	100%	0	0	0	2020-07-24 13:39:22.027209
Brands India	1590.00	248		460.0	1.4071	4.5	89%	1	0	0	2020-07-24 13:39:22.027209
V-THREE	1960.00	4		830.0	1.7345	4	75%	0	0	0	2020-07-24 13:39:22.027209
gsienterprises	2240.00	6		1110.0	1.9823	3	50%	0	0	0	2020-07-24 13:39:22.027209
Purvas Shoppe	2240.00	18	6-7 days	1110.0	1.9823	4.5	94%	0	0	0	2020-07-24 13:39:22.027209
