Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
AnandEnterprisesForU	1435.00	11		0.0	1.0	3.5	73%	1	0	0	2020-07-29 21:14:10.911185
Earth industries	1454.00	29		19.0	1.0132	3	44%	1	0	1	2020-07-29 21:14:10.911185
Click At Luggage	1480.00	713		45.0	1.0314	4.5	95%	1	0	0	2020-07-29 21:14:10.911185
Olympia Industries Ltd	1486.00			51.0	1.0355	4.5	89%	1	0	0	2020-07-29 21:14:10.911185
Desert Retail	1596.00	28		161.0	1.1122	4	79%	0	0	0	2020-07-29 21:14:10.911185
E-TECH RETAIL	1599.00	1	11-12 days	164.0	1.1143	5	100%	0	0	0	2020-07-29 21:14:10.911185
Backpack World	1650.00		7-8 days	215.0	1.1498	4	83%	0	0	0	2020-07-29 21:14:10.911185
Nasher Miles Private Limited	1699.00			264.0	1.184	5	97%	1	0	0	2020-07-29 21:14:10.911185
Net Distribution Services Pvt Ltd	1700.00	779		265.0	1.1847	4.5	86%	1	0	0	2020-07-29 21:14:10.911185
LAHAR SELECTION	1999.00		9-11 days	564.0	1.393			0	0	0	2020-07-29 21:14:10.911185
The Skool Shoppe	2080.00			645.0	1.4495			0	0	0	2020-07-29 21:14:10.911185
