Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Amaz-on Exclusive Online Store	44400.00	190	11-16 days	0.0	1.0	4	80%	0	0	1
Peach Imports	79999.00	498	13-20 days	35599.0	1.8018	4.5	84%	0	0	0
