Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Desert Retail	299.00	28		0.0	1.0	4	79%	0	0	1	2020-08-01 06:47:26.307857
BAGS KART	305.00	79		6.0	1.0201	4.5	92%	1	0	0	2020-08-01 06:47:26.307857
Cloudtail India	325.00			26.0	1.087	4.5	89%	1	1	0	2020-08-01 06:47:26.307857
Festivals	359.00			60.0	1.2007	3.5	60%	1	0	0	2020-08-01 06:47:26.307857
Pass ki dukan	299.00	14		0.0	1.0	4.5	86%	0	0	0	2020-08-01 06:47:26.307857
Ganesh bag emporium	299.00			0.0	1.0			0	0	0	2020-08-01 06:47:26.307857
INDIA'S BEST COMPETITIVE PRICES	349.00		8-9 days	50.0	1.1672	2.5	36%	0	0	0	2020-08-01 06:47:26.307857
Big Bazaar	475.00	36		176.0	1.5886	3	57%	1	0	0	2020-08-01 06:47:26.307857
SiH	499.00			200.0	1.6689	4.5	93%	0	0	0	2020-08-01 06:47:26.307857
LVDV	599.00	44	9-10 days	300.0	2.0033	4	73%	0	0	0	2020-08-01 06:47:26.307857
Sumraj India Udyog	699.00	19	2-5 days	400.0	2.3378	5	100%	0	0	0	2020-08-01 06:47:26.307857
