Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
LAHAR SELECTION	1199.00		8-9 days	0.0	1.0			0	0	0	2020-07-14 10:31:00.435128
EFLIP BAGGSKART ECOMMERCE PVT LTD	1199.00			0.0	1.0	2.5	41%	0	0	1	2020-07-14 10:31:00.435128
WOMAN ERA	1200.00	35	8-9 days	1.0	1.0008	4.5	86%	0	0	0	2020-07-14 10:31:00.435128
Pastel Creations	1199.00	7	6-7 days	0.0	1.0	4	83%	0	0	0	2020-07-14 10:31:00.435128
Backpack World	1335.00	83		136.0	1.1134	4.5	94%	1	0	0	2020-07-14 10:31:00.435128
cloudind	1349.00			150.0	1.1251	4.5	87%	0	0	0	2020-07-14 10:31:00.435128
rockstarriyaz	1350.00			151.0	1.1259	4	77%	1	0	0	2020-07-14 10:31:00.435128
Standard enterprise	1283.00	221	9-10 days	84.0	1.0701	4	100%	0	0	0	2020-07-14 10:31:00.435128
Viva Bags	1380.00	1	6-7 days	181.0	1.151	4	75%	0	0	0	2020-07-14 10:31:00.435128
Bagz Hub	1400.00	8	7-8 days	201.0	1.1676	4	80%	0	0	0	2020-07-14 10:31:00.435128
BNBLUG	1400.00	46	5-6 days	201.0	1.1676			0	0	0	2020-07-14 10:31:00.435128
