Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	1129.00	70		0.0	1.0	4	82%	1	0	0	2020-07-31 00:27:35.579233
Cloudtail India	1130.00			1.0	1.0009	4.5	89%	1	1	1	2020-07-31 00:27:35.579233
BAGSANDLUGGAGE	1130.00	36		1.0	1.0009	2.5	45%	0	0	0	2020-07-31 00:27:35.579233
Digitaly yours	1185.00	36		56.0	1.0496	3	53%	0	0	0	2020-07-31 00:27:35.579233
Catchy Bags	1195.00	124		66.0	1.0585	4.5	95%	1	0	0	2020-07-31 00:27:35.579233
Backpack World	1218.00		7-9 days	89.0	1.0788	4	85%	0	0	0	2020-07-31 00:27:35.579233
BagStop	1350.00	58	11-12 days	221.0	1.1957	3.5	57%	0	0	0	2020-07-31 00:27:35.579233
cloudind	1499.00		7-9 days	370.0	1.3277	4.5	93%	0	0	0	2020-07-31 00:27:35.579233
Harricane	1500.00	250	7-9 days	371.0	1.3286	3.5	66%	0	0	0	2020-07-31 00:27:35.579233
Standard enterprise	1550.00	1	12-16 days	421.0	1.3729	4	100%	0	0	0	2020-07-31 00:27:35.579233
Brands India	1590.00	249		461.0	1.4083	4	89%	1	0	0	2020-07-31 00:27:35.579233
V-THREE	1960.00	4	7-9 days	831.0	1.736	4	75%	0	0	0	2020-07-31 00:27:35.579233
gsienterprises	2240.00	6	6-9 days	1111.0	1.9841	3	50%	0	0	0	2020-07-31 00:27:35.579233
Purvas Shoppe	2240.00	18	5-6 days	1111.0	1.9841	4.5	94%	0	0	0	2020-07-31 00:27:35.579233
