Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Earth industries	1225.00	30	7-8 days	0.0	1.0	3	42%	0	0	0	2020-08-27 10:35:20.362699
Catchy Bags	1250.00	124		25.0	1.0204	4.5	94%	1	0	1	2020-08-27 10:35:20.362699
JKM ENTERPRISES INDIA	1266.00	4	7-8 days	41.0	1.0335	3.5	75%	0	0	0	2020-08-27 10:35:20.362699
EVAN	1270.00			45.0	1.0367	4.5	94%	1	0	0	2020-08-27 10:35:20.362699
DEALS AMAZING	1397.00			172.0	1.1404	4	77%	1	0	0	2020-08-27 10:35:20.362699
E-Shop Retail	1397.00	84		172.0	1.1404	4.5	88%	1	0	0	2020-08-27 10:35:20.362699
TODAY'S DEAL	1397.00			172.0	1.1404	4	80%	1	0	0	2020-08-27 10:35:20.362699
Safari's luggage world	1918.00	27	8-11 days	693.0	1.5657	4	74%	0	0	0	2020-08-27 10:35:20.362699
gsienterprises	1918.00	6	6-8 days	693.0	1.5657	3	50%	0	0	0	2020-08-27 10:35:20.362699
The Skool Shoppe	1918.00		8-10 days	693.0	1.5657			0	0	0	2020-08-27 10:35:20.362699
