Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1030.00	79		0.0	1.0	4.5	83%	1	0	1	2020-07-15 04:11:41.151863
EFLIP BAGGSKART ECOMMERCE PVT LTD	1030.00	35		0.0	1.0	2.5	41%	0	0	0	2020-07-15 04:11:41.151863
E-TECH RETAIL	1040.00	1	8-9 days	10.0	1.0097	5	100%	0	0	0	2020-07-15 04:11:41.151863
TODAY'S DEAL	1057.00			27.0	1.0262	4	81%	1	0	0	2020-07-15 04:11:41.151863
AnandEnterprisesForU	1058.00	11		28.0	1.0272	3.5	73%	1	0	0	2020-07-15 04:11:41.151863
A Bags world	1059.50	62		29.5	1.0286	3.5	73%	1	0	0	2020-07-15 04:11:41.151863
DEALS AMAZING	1062.00			32.0	1.0311	4	81%	1	0	0	2020-07-15 04:11:41.151863
BAGS HI BAG	1063.00	70		33.0	1.032	4	71%	1	0	0	2020-07-15 04:11:41.151863
THE CONNECT	1066.00	9		36.0	1.035	3.5	67%	0	0	0	2020-07-15 04:11:41.151863
cloudind	1130.00			100.0	1.0971	4.5	87%	0	0	0	2020-07-15 04:11:41.151863
Standard enterprise	1247.00	1	9-11 days	217.0	1.2107	4	100%	0	0	0	2020-07-15 04:11:41.151863
Viva Bags	1249.00	8	5-6 days	219.0	1.2126	4	75%	0	0	0	2020-07-15 04:11:41.151863
Keshavcosmetics	1150.00		7-8 days	120.0	1.1165			0	0	0	2020-07-15 04:11:41.151863
BagStop	1175.00		8-9 days	145.0	1.1408	3.5	57%	0	0	0	2020-07-15 04:11:41.151863
Backpack World	1290.00	58	5-6 days	260.0	1.2524	4.5	94%	0	0	0	2020-07-15 04:11:41.151863
PAXFUL	1299.00		7-9 days	269.0	1.2612			0	0	0	2020-07-15 04:11:41.151863
Deepsum Bags	1900.00		7-8 days	870.0	1.8447	5	100%	0	0	0	2020-07-15 04:11:41.151863
gsienterprises	1918.00		7-8 days	888.0	1.8621	3	50%	0	0	0	2020-07-15 04:11:41.151863
MAMMOTH	1999.00	4		969.0	1.9408			0	0	0	2020-07-15 04:11:41.151863
The Skool Shoppe	1910.00	6	8-9 days	880.0	1.8544			0	0	0	2020-07-15 04:11:41.151863
