Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
AnandEnterprisesForU	1435.00	11		0.0	1.0	3.5	73%	1	0	1	2020-07-16 08:00:26.946981
E-Shop Retail	1436.00	79		1.0	1.0007	4.5	83%	1	0	0	2020-07-16 08:00:26.946981
Digitaly yours	1436.00	36	8-10 days	1.0	1.0007	3	53%	0	0	0	2020-07-16 08:00:26.946981
SanSac Global	1449.00	8		14.0	1.0098	2.5	50%	1	0	0	2020-07-16 08:00:26.946981
Olympia Industries Ltd	1486.00			51.0	1.0355	4.5	89%	1	0	0	2020-07-16 08:00:26.946981
Desert Retail	1596.00	28	7-8 days	161.0	1.1122	4	79%	0	0	0	2020-07-16 08:00:26.946981
E-TECH RETAIL	1599.00	1	8-10 days	164.0	1.1143	5	100%	0	0	0	2020-07-16 08:00:26.946981
Backpack World	1650.00		6-7 days	215.0	1.1498	4.5	94%	0	0	0	2020-07-16 08:00:26.946981
Nasher Miles Private Limited	1699.00			264.0	1.184	4.5	97%	1	0	0	2020-07-16 08:00:26.946981
Net Distribution Services Pvt Ltd	1700.00	776		265.0	1.1847	4.5	85%	1	0	0	2020-07-16 08:00:26.946981
The Skool Shoppe	2080.00		8-10 days	645.0	1.4495			0	0	0	2020-07-16 08:00:26.946981
Purvas Shoppe	2550.00		6-7 days	1115.0	1.777	4.5	94%	0	0	0	2020-07-16 08:00:26.946981
