Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
pacers	661.00	183	7-9 days	0.0	1.0	4.5	90%	0	0	0	2020-07-17 07:36:46.627474
Apace Pvt Ltd	672.00	88		11.0	1.0166	3.5	71%	0	0	0	2020-07-17 07:36:46.627474
Cloudtail India	677.00			16.0	1.0242	4.5	90%	1	1	1	2020-07-17 07:36:46.627474
Olympia Industries Ltd	725.00			64.0	1.0968	4.5	89%	1	0	0	2020-07-17 07:36:46.627474
TODAY'S DEAL	774.00			113.0	1.171	4	81%	1	0	0	2020-07-17 07:36:46.627474
Net Distribution Services Pvt Ltd	775.00	776		114.0	1.1725	4.5	85%	1	0	0	2020-07-17 07:36:46.627474
Nasher Miles Private Limited	789.00			128.0	1.1936	5	97%	1	0	0	2020-07-17 07:36:46.627474
Discount Junction	1099.00	410		438.0	1.6626	3.5	64%	0	0	0	2020-07-17 07:36:46.627474
Timex Avtansh	1099.00	1	6-9 days	438.0	1.6626	5	100%	0	0	0	2020-07-17 07:36:46.627474
Brand Cart	1176.00		6-9 days	515.0	1.7791	4	75%	0	0	0	2020-07-17 07:36:46.627474
