Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Desert Retail	315.00	28		16.0	1.0535	4	79%	0	0	1	2020-08-03 17:48:15.380713
SiH	320.00	44		21.0	1.0702	4.5	93%	1	0	0	2020-08-03 17:48:15.380713
Cloudtail India	335.00			36.0	1.1204	4.5	89%	1	1	0	2020-08-03 17:48:15.380713
Festivals	359.00			60.0	1.2007	3.5	61%	1	0	0	2020-08-03 17:48:15.380713
Ganesh bag emporium	299.00		9-10 days	0.0	1.0			0	0	0	2020-08-03 17:48:15.380713
Pass ki dukan	299.00		9-10 days	0.0	1.0	4.5	86%	0	0	0	2020-08-03 17:48:15.380713
INDIA'S BEST COMPETITIVE PRICES	315.00	14		16.0	1.0535	2.5	36%	0	0	0	2020-08-03 17:48:15.380713
Big Bazaar	475.00	39		176.0	1.5886	3	57%	1	0	0	2020-08-03 17:48:15.380713
LVDV	599.00		8-9 days	300.0	2.0033	4	73%	0	0	0	2020-08-03 17:48:15.380713
Sumraj India Udyog	699.00	19	2-6 days	400.0	2.3378	5	100%	0	0	0	2020-08-03 17:48:15.380713
