Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAGS KART	290.00	82		75.0	1.3488	4.5	92%	1	0	1	2020-08-29 14:44:23.217013
SiH	298.00	44		83.0	1.386	4.5	93%	1	0	0	2020-08-29 14:44:23.217013
Cloudtail India	299.00			84.0	1.3907	4.5	89%	1	1	0	2020-08-29 14:44:23.217013
Desert Retail	310.00	28		95.0	1.4419	4	79%	0	0	0	2020-08-29 14:44:23.217013
INDIA'S BEST COMPETITIVE PRICES	215.00	66	9-12 days	0.0	1.0	2.5	35%	0	0	0	2020-08-29 14:44:23.217013
Pass ki dukan	299.00	15	6-7 days	84.0	1.3907	4.5	87%	0	0	0	2020-08-29 14:44:23.217013
Husamsons	399.00	112		184.0	1.8558	4	83%	0	0	0	2020-08-29 14:44:23.217013
Bombay Bag House	399.00		7-8 days	184.0	1.8558			0	0	0	2020-08-29 14:44:23.217013
Big Bazaar	449.00			234.0	2.0884	3.5	60%	1	0	0	2020-08-29 14:44:23.217013
Sumraj India Udyog	699.00		2-5 days	484.0	3.2512	3	50%	0	0	0	2020-08-29 14:44:23.217013
