Price + Delivery	Condition	Seller Information	Delivery
  2,130.00 | Prime : No | FREE Delivery | FREE Delivery. Details	New	D-Cart | 4.5 out of 5 stars  | 84% positive | 167 total rating	Fullfilled by Amazon
  2,130.00 | Prime : No | FREE Delivery | FREE Delivery. Details	New	Click At Luggage | 4.5 out of 5 stars  | 95% positive. | 714 total rating	Fullfilled by Amazon
  2,130.00 | Prime : No | FREE Delivery | FREE Delivery. Details	New	BoxWish | 4 out of 5 stars  | 85% positive | 3,557 total rating	Fullfilled by Amazon
  2,195.00 | Prime : No | FREE Delivery | FREE Delivery. Details	New	SuperNV ***** | 3.5 out of 5 stars  | 70% positive | 24 total rating	Fullfilled by Amazon
  2,273.00 | Prime : No | FREE Delivery | FREE Delivery. Details	New	DEALS AMAZING | 4 out of 5 stars  | 77% positive | 1,275 total rating	Fullfilled by Amazon
  2,289.00 | Prime : No | FREE Delivery | FREE Delivery. Details	New	World Market | 4.5 out of 5 stars  | 93% positive | 44 total rating	Fullfilled by Amazon
  2,295.00 | Prime : No | FREE Delivery | FREE Delivery. Details	New	CLOUD STATION | 4 out of 5 stars  | 74% positive | 123 total rating	Fullfilled by Amazon
  2,363.00 | Prime : No | FREE Delivery | FREE Delivery. Details	New	Verizoni LLC | 4 out of 5 stars  | 72% positive | 1,192 total rating	Fullfilled by Amazon
  2,723.00 | Prime : No | FREE Delivery | FREE Delivery. Details	New	BAG STREETS | 4.5 out of 5 stars  | 91% positive | 387 total rating	Fullfilled by Amazon
  2,740.00 | Prime : No | FREE Delivery | FREE Delivery. Details	New	TODAY'S DEAL | 4 out of 5 stars  | 79% positive | 5,888 total rating	Fullfilled by Amazon
  2,363.00 | Prime : No | +   59 | +   59.00 Delivery	New	Verizoni LLC | 4 out of 5 stars  | 72% positive | 1,192 total rating	Not fulfilled by Amazon | 5-6 days
  2,799.00 | Prime : No | +   59 | FREE Delivery. Details	New	Stonehenge Retail | 4 out of 5 stars  | 82% positive | 211 total rating	Fullfilled by Amazon
  2,849.00 | Prime : No | +   59 | FREE Delivery.	New	PINNACLE RETAIL | 3.5 out of 5 stars  | 73% positive | 11 total rating	Not fulfilled by Amazon | 6-10 days
  2,834.00 | Prime : No | +   59 | +   60.00 Delivery	New	Be Fit 12013 | 3.5 out of 5 stars  | 61% positive | 33 total rating	Not fulfilled by Amazon | 6-10 days
