Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	295.00	56		0.0	1.0	4.5	90%	1	0	1	2020-07-30 02:04:43.860196
BAGS KART	320.00	79		25.0	1.0847	4.5	92%	1	0	0	2020-07-30 02:04:43.860196
Cloudtail India	325.00			30.0	1.1017	4.5	90%	1	1	0	2020-07-30 02:04:43.860196
Desert Retail	325.00	28		30.0	1.1017	4	79%	0	0	0	2020-07-30 02:04:43.860196
Festivals	369.00			74.0	1.2508	3.5	60%	1	0	0	2020-07-30 02:04:43.860196
INDIA'S BEST COMPETITIVE PRICES	299.00	34	10-11 days	4.0	1.0136	2.5	35%	0	0	0	2020-07-30 02:04:43.860196
Easy Home Deals	449.00	325		154.0	1.522	4	79%	1	0	0	2020-07-30 02:04:43.860196
Big Bazaar	475.00			180.0	1.6102	3	58%	1	0	0	2020-07-30 02:04:43.860196
Shiva Assosciates	699.00	6	8-10 days	404.0	2.3695	3.5	67%	0	0	0	2020-07-30 02:04:43.860196
LVDV	799.00	19		504.0	2.7085	4	73%	0	0	0	2020-07-30 02:04:43.860196
