Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	290.00	59		0.0	1.0	4.5	91%	1	0	0	2020-08-29 11:58:50.734876
BAGS KART	294.00	82		4.0	1.0138	4.5	92%	1	0	0	2020-08-29 11:58:50.734876
SiH	295.00	44		5.0	1.0172	4.5	93%	1	0	0	2020-08-29 11:58:50.734876
Cloudtail India	299.00			9.0	1.031	4.5	89%	1	1	1	2020-08-29 11:58:50.734876
Desert Retail	301.00	28		11.0	1.0379	4	79%	0	0	0	2020-08-29 11:58:50.734876
Ganesh bag emporium	290.00		6-7 days	0.0	1.0			0	0	0	2020-08-29 11:58:50.734876
Pass ki dukan	291.00		6-7 days	1.0	1.0034	4.5	87%	0	0	0	2020-08-29 11:58:50.734876
Festivals	369.00	15		79.0	1.2724	3.5	62%	1	0	0	2020-08-29 11:58:50.734876
INDIA'S BEST COMPETITIVE PRICES	295.00		9-12 days	5.0	1.0172	2.5	34%	0	0	0	2020-08-29 11:58:50.734876
Bombay Bag House	399.00	65	7-8 days	109.0	1.3759			0	0	0	2020-08-29 11:58:50.734876
Big Bazaar	449.00			159.0	1.5483	3.5	60%	1	0	0	2020-08-29 11:58:50.734876
Chandinicolection	299.00			9.0	1.031			0	0	0	2020-08-29 11:58:50.734876
Shiva Assosciates	699.00		7-8 days	409.0	2.4103	3	50%	0	0	0	2020-08-29 11:58:50.734876
