Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
TODAY'S DEAL	1477.00			0.0	1.0	4	80%	1	0	0	2020-08-03 20:36:25.900752
Verizoni LLC	1477.00			0.0	1.0	3.5	69%	1	0	1	2020-08-03 20:36:25.900752
DEALS AMAZING	1498.00			21.0	1.0142	4	80%	1	0	0	2020-08-03 20:36:25.900752
BAG STREET	1525.00	379		48.0	1.0325	4.5	91%	1	0	0	2020-08-03 20:36:25.900752
Harricane	1530.00	252		53.0	1.0359	3.5	65%	1	0	0	2020-08-03 20:36:25.900752
World Market	1599.00	39		122.0	1.0826	4.5	93%	1	0	0	2020-08-03 20:36:25.900752
Bag Square	1750.00	19		273.0	1.1848	4	80%	1	0	0	2020-08-03 20:36:25.900752
VANYA SALES	1899.00	434		422.0	1.2857	4.5	89%	1	0	0	2020-08-03 20:36:25.900752
Adventure Hut	1899.00	9		422.0	1.2857	3	56%	0	0	0	2020-08-03 20:36:25.900752
Verizoni LLC	1899.00			422.0	1.2857	3.5	69%	0	0	1	2020-08-03 20:36:25.900752
