Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
AnandEnterprisesForU	1435.00	11		0.0	1.0	3.5	73%	1	0	1	2020-07-28 00:11:43.291360
Digitaly yours	1436.00	36	7-8 days	1.0	1.0007	3	53%	0	0	0	2020-07-28 00:11:43.291360
Earth industries	1454.00	29		19.0	1.0132	3	44%	1	0	0	2020-07-28 00:11:43.291360
Olympia Industries Ltd	1486.00			51.0	1.0355	4.5	89%	1	0	0	2020-07-28 00:11:43.291360
Desert Retail	1596.00	28		161.0	1.1122	4	79%	0	0	0	2020-07-28 00:11:43.291360
E-TECH RETAIL	1599.00	1	12-13 days	164.0	1.1143	5	100%	0	0	0	2020-07-28 00:11:43.291360
Backpack World	1650.00		6-7 days	215.0	1.1498	4	87%	0	0	0	2020-07-28 00:11:43.291360
Nasher Miles Private Limited	1699.00			264.0	1.184	5	97%	1	0	0	2020-07-28 00:11:43.291360
Net Distribution Services Pvt Ltd	1700.00	779		265.0	1.1847	4.5	86%	1	0	0	2020-07-28 00:11:43.291360
LAHAR SELECTION	1999.00		8-9 days	564.0	1.393			0	0	0	2020-07-28 00:11:43.291360
The Skool Shoppe	2080.00			645.0	1.4495			0	0	0	2020-07-28 00:11:43.291360
