Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
RS ENTERPRISES	1029.00	18		0.0	1.0	4	78%	1	0	0	2020-07-28 00:11:43.291360
TODAY'S DEAL	1029.00			0.0	1.0	4	80%	1	0	0	2020-07-28 00:11:43.291360
EVAN	1029.00			0.0	1.0	4.5	93%	1	0	1	2020-07-28 00:11:43.291360
DEALS AMAZING	1045.00			16.0	1.0155	4	80%	1	0	0	2020-07-28 00:11:43.291360
Earth industries	1048.00	29		19.0	1.0185	3	44%	1	0	0	2020-07-28 00:11:43.291360
E-Shop Retail	1050.00	80		21.0	1.0204	4.5	85%	1	0	0	2020-07-28 00:11:43.291360
A Bags world	1059.50	62		30.5	1.0296	3.5	69%	1	0	0	2020-07-28 00:11:43.291360
BAGS HI BAG	1063.00	72		34.0	1.033	3.5	69%	1	0	0	2020-07-28 00:11:43.291360
THE CONNECT	1066.00	8	10-12 days	37.0	1.036	4	75%	0	0	0	2020-07-28 00:11:43.291360
E-TECH RETAIL	1099.00	1	12-13 days	70.0	1.068	5	100%	0	0	0	2020-07-28 00:11:43.291360
cloudind	1130.00			101.0	1.0982	4.5	90%	0	0	0	2020-07-28 00:11:43.291360
Standard enterprise	1247.00	1		218.0	1.2119	4	100%	0	0	0	2020-07-28 00:11:43.291360
Viva Bags	1249.00	8	5-6 days	220.0	1.2138	4	75%	0	0	0	2020-07-28 00:11:43.291360
BagStop	1175.00	58		146.0	1.1419	3.5	57%	0	0	0	2020-07-28 00:11:43.291360
Backpack World	1290.00		6-7 days	261.0	1.2536	4	87%	0	0	0	2020-07-28 00:11:43.291360
Deepsum Bags	1900.00	4	6-7 days	871.0	1.8465	5	100%	0	0	0	2020-07-28 00:11:43.291360
gsienterprises	1918.00	6	7-8 days	889.0	1.8639	3	50%	0	0	0	2020-07-28 00:11:43.291360
