Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Supreme Sports & Uniforms	840.00	62	8-10 days	0.0	1.0	4.5	87%	0	0	0	2020-07-16 20:10:41.807166
BAGS HI BAG	914.80	70		74.8	1.089	3.5	70%	1	0	1	2020-07-16 20:10:41.807166
Big Bazaar	1069.00			229.0	1.2726	3	56%	1	0	0	2020-07-16 20:10:41.807166
BNBLUG	1090.00		6-7 days	250.0	1.2976			0	0	0	2020-07-16 20:10:41.807166
SSTZ	1199.00			359.0	1.4274	4	77%	1	0	0	2020-07-16 20:10:41.807166
Standard enterprise	1250.00	90		410.0	1.4881	4	100%	0	0	0	2020-07-16 20:10:41.807166
Sh Bala Ji Bag House	1150.00	1	7-10 days	310.0	1.369			0	0	0	2020-07-16 20:10:41.807166
standard bag house	1430.00			590.0	1.7024	5	100%	0	0	0	2020-07-16 20:10:41.807166
Ocean Bag	1390.00			550.0	1.6548	4.5	83%	0	0	0	2020-07-16 20:10:41.807166
Deepsum Bags	1500.00	4	8-10 days	660.0	1.7857	5	100%	0	0	0	2020-07-16 20:10:41.807166
Paduka partners	1499.00	6	10-11 days	659.0	1.7845	1	0%	0	0	0	2020-07-16 20:10:41.807166
KHUSHI BAGS	1432.00	4	6-11 days	592.0	1.7048	4	83%	0	0	0	2020-07-16 20:10:41.807166
gsienterprises	1592.00	1		752.0	1.8952	3	50%	0	0	0	2020-07-16 20:10:41.807166
