Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Catchy Bags	1345.00	124		0.0	1.0	4.5	94%	1	0	1	2020-08-03 16:27:17.687970
Ppj bags	1350.00	93		5.0	1.0037	4	79%	0	0	0	2020-08-03 16:27:17.687970
Balaji E	1420.00	34		75.0	1.0558	4	76%	1	0	0	2020-08-03 16:27:17.687970
YATEE TRADING COMPANY	1420.00	94		75.0	1.0558	4	78%	1	0	0	2020-08-03 16:27:17.687970
Digi tree electrical & electronics	1399.00			54.0	1.0401			0	0	0	2020-08-03 16:27:17.687970
eLITESPORTS	1546.00			201.0	1.1494	4.5	90%	0	0	0	2020-08-03 16:27:17.687970
Ocean Bag	1650.00	594		305.0	1.2268	4.5	83%	0	0	0	2020-08-03 16:27:17.687970
V-THREE	1880.00	6	7-8 days	535.0	1.3978	4	75%	0	0	0	2020-08-03 16:27:17.687970
NEW FANCY BAGS	1849.00	4	2-3 days	504.0	1.3747	5	100%	0	0	0	2020-08-03 16:27:17.687970
gsienterprises	1880.00	4	6-7 days	535.0	1.3978	3	50%	0	0	0	2020-08-03 16:27:17.687970
