Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	290.00	59		0.0	1.0	4.5	91%	1	0	1	2020-09-03 05:44:28.327445
V-B	295.00	44		5.0	1.0172	4.5	93%	1	0	0	2020-09-03 05:44:28.327445
Desert Retail	301.00	28		11.0	1.0379	4	79%	0	0	0	2020-09-03 05:44:28.327445
Cloudtail India	320.00			30.0	1.1034	4.5	89%	1	1	0	2020-09-03 05:44:28.327445
Pass ki dukan	291.00	15	5-6 days	1.0	1.0034	4.5	87%	0	0	0	2020-09-03 05:44:28.327445
Festivals	369.00			79.0	1.2724	3.5	62%	1	0	0	2020-09-03 05:44:28.327445
INDIA'S BEST COMPETITIVE PRICES	295.00	70	8-10 days	5.0	1.0172	2.5	36%	0	0	0	2020-09-03 05:44:28.327445
Bombay Bag House	399.00		6-7 days	109.0	1.3759			0	0	0	2020-09-03 05:44:28.327445
Big Bazaar	449.00			159.0	1.5483	3.5	61%	1	0	0	2020-09-03 05:44:28.327445
Chandinicolection	299.00		5-6 days	9.0	1.031			0	0	0	2020-09-03 05:44:28.327445
Shiva Assosciates	699.00		6-8 days	409.0	2.4103	3	50%	0	0	0	2020-09-03 05:44:28.327445
