Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
World Market	1410.00	36		0.0	1.0	4.5	96%	1	0	1	2020-07-16 23:13:56.412348
Cloudtail India	1411.00			1.0	1.0007	4.5	90%	1	1	0	2020-07-16 23:13:56.412348
DEALS AMAZING	1448.00			38.0	1.027	4	81%	1	0	0	2020-07-16 23:13:56.412348
TODAY'S DEAL	1448.00			38.0	1.027	4	81%	1	0	0	2020-07-16 23:13:56.412348
Verizoni LLC	1499.00			89.0	1.0631	3.5	71%	1	0	0	2020-07-16 23:13:56.412348
BAG STREET	1525.00	375		115.0	1.0816	4.5	91%	1	0	0	2020-07-16 23:13:56.412348
Harricane	1530.00	249		120.0	1.0851	3.5	65%	1	0	0	2020-07-16 23:13:56.412348
Bag Square	1750.00	19		340.0	1.2411	4	80%	1	0	0	2020-07-16 23:13:56.412348
VANYA SALES	1899.00	432		489.0	1.3468	4.5	88%	1	0	0	2020-07-16 23:13:56.412348
Adventure Hut	1899.00	9		489.0	1.3468	3	56%	0	0	0	2020-07-16 23:13:56.412348
Verizoni LLC	1899.00		6-7 days	489.0	1.3468	3.5	71%	0	0	0	2020-07-16 23:13:56.412348
