Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	280.00	59		0.0	1.0	4.5	91%	1	0	1	2020-09-05 12:09:39.419655
SiH	290.00	44		10.0	1.0357	4.5	93%	1	0	0	2020-09-05 12:09:39.419655
BAGS KART	300.00	83		20.0	1.0714	4.5	94%	1	0	0	2020-09-05 12:09:39.419655
Desert Retail	301.00	28		21.0	1.075	4	79%	0	0	0	2020-09-05 12:09:39.419655
Cloudtail India	320.00			40.0	1.1429	4.5	89%	1	1	0	2020-09-05 12:09:39.419655
Ganesh bag emporium	298.00		6-8 days	18.0	1.0643			0	0	0	2020-09-05 12:09:39.419655
Pass ki dukan	291.00		6-8 days	11.0	1.0393	4.5	87%	0	0	0	2020-09-05 12:09:39.419655
Festivals	369.00	15		89.0	1.3179	3.5	63%	1	0	0	2020-09-05 12:09:39.419655
Smart BuyBox	300.00		9-12 days	20.0	1.0714	3	50%	0	0	0	2020-09-05 12:09:39.419655
INDIA'S BEST COMPETITIVE PRICES	295.00	10	9-12 days	15.0	1.0536	2.5	34%	0	0	0	2020-09-05 12:09:39.419655
Bombay Bag House	399.00	73		119.0	1.425			0	0	0	2020-09-05 12:09:39.419655
Big Bazaar	449.00			169.0	1.6036	3.5	61%	1	0	0	2020-09-05 12:09:39.419655
Shiva Assosciates	699.00			419.0	2.4964	3	50%	0	0	0	2020-09-05 12:09:39.419655
