Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1026.00	81		0.0	1.0	4.5	86%	1	0	0	2020-08-02 22:26:01.206205
AnandEnterprisesForU	1028.00	11		2.0	1.0019	3.5	73%	1	0	0	2020-08-02 22:26:01.206205
RS ENTERPRISES	1028.00	19		2.0	1.0019	4	79%	1	0	0	2020-08-02 22:26:01.206205
TODAY'S DEAL	1059.00			33.0	1.0322	4	80%	1	0	0	2020-08-02 22:26:01.206205
DEALS AMAZING	1059.00			33.0	1.0322	4	80%	1	0	0	2020-08-02 22:26:01.206205
A Bags world	1059.50	62		33.5	1.0327	3.5	69%	1	0	0	2020-08-02 22:26:01.206205
BAGS HI BAG	1063.00	72		37.0	1.0361	3.5	68%	1	0	0	2020-08-02 22:26:01.206205
THE CONNECT	1066.00	8		40.0	1.039	4	75%	0	0	0	2020-08-02 22:26:01.206205
E-TECH RETAIL	1099.00	1	9-10 days	73.0	1.0712	5	100%	0	0	0	2020-08-02 22:26:01.206205
CONCEPTENTERPRISES	1199.00		8-9 days	173.0	1.1686			0	0	0	2020-08-02 22:26:01.206205
E-Shop Retail	1026.00			0.0	1.0	4.5	86%	1	0	0	2020-08-02 22:26:01.206205
AnandEnterprisesForU	1028.00	81		2.0	1.0019	3.5	73%	1	0	0	2020-08-02 22:26:01.206205
BAGS HI BAG	1063.00	11		37.0	1.0361	3.5	68%	1	0	0	2020-08-02 22:26:01.206205
E-TECH RETAIL	1099.00	72	9-10 days	73.0	1.0712	5	100%	0	0	0	2020-08-02 22:26:01.206205
TRENZY WORLD	1247.00	1		221.0	1.2154	4	100%	0	0	0	2020-08-02 22:26:01.206205
Viva Bags	1249.00	1		223.0	1.2173	4	75%	0	0	0	2020-08-02 22:26:01.206205
BagStop	1175.00	8		149.0	1.1452	3.5	57%	0	0	0	2020-08-02 22:26:01.206205
Backpack World	1290.00	58	8-9 days	264.0	1.2573	4	83%	0	0	0	2020-08-02 22:26:01.206205
Deepsum Bags	1900.00		7-8 days	874.0	1.8519	5	100%	0	0	0	2020-08-02 22:26:01.206205
gsienterprises	1918.00	4		892.0	1.8694	3	50%	0	0	0	2020-08-02 22:26:01.206205
CONCEPTENTERPRISES	1199.00	6	8-9 days	173.0	1.1686			0	0	0	2020-08-02 22:26:01.206205
Viva Bags	1249.00			223.0	1.2173	4	75%	0	0	0	2020-08-02 22:26:01.206205
Backpack World	1290.00		8-9 days	264.0	1.2573	4	83%	0	0	0	2020-08-02 22:26:01.206205
