Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Earth industries	1209.00	31	6-7 days	0.0	1.0	3	45%	0	0	0	2020-08-31 12:28:15.604478
TODAY'S DEAL	1215.00			6.0	1.005	4	78%	1	0	0	2020-08-31 12:28:15.604478
DEALS AMAZING	1215.00			6.0	1.005	4	77%	1	0	0	2020-08-31 12:28:15.604478
E-Shop Retail	1215.00	85		6.0	1.005	4.5	82%	1	0	1	2020-08-31 12:28:15.604478
EVAN	1219.00			10.0	1.0083	4.5	94%	1	0	0	2020-08-31 12:28:15.604478
Catchy Bags	1250.00	124		41.0	1.0339	4.5	94%	1	0	0	2020-08-31 12:28:15.604478
Safari's luggage world	1918.00	27	7-9 days	709.0	1.5864	4	74%	0	0	0	2020-08-31 12:28:15.604478
The Skool Shoppe	1918.00		7-9 days	709.0	1.5864			0	0	0	2020-08-31 12:28:15.604478
