Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1028.00	80		0.0	1.0	4.5	85%	1	0	1	2020-07-24 04:33:22.217065
BAGSANDLUGGAGE	1028.00	36	10-11 days	0.0	1.0	2.5	43%	0	0	0	2020-07-24 04:33:22.217065
Earth industries	1048.00	29		20.0	1.0195	3	44%	1	0	0	2020-07-24 04:33:22.217065
DEALS AMAZING	1057.00			29.0	1.0282	4	81%	1	0	0	2020-07-24 04:33:22.217065
TODAY'S DEAL	1057.00			29.0	1.0282	4	80%	1	0	0	2020-07-24 04:33:22.217065
A Bags world	1059.50	62		31.5	1.0306	3.5	69%	1	0	0	2020-07-24 04:33:22.217065
BAGS HI BAG	1063.00	72		35.0	1.034	3.5	69%	1	0	0	2020-07-24 04:33:22.217065
THE CONNECT	1066.00	8	12-13 days	38.0	1.037	4	75%	0	0	0	2020-07-24 04:33:22.217065
E-TECH RETAIL	1099.00	1	12-13 days	71.0	1.0691	5	100%	0	0	0	2020-07-24 04:33:22.217065
cloudind	1130.00			102.0	1.0992	4.5	90%	0	0	0	2020-07-24 04:33:22.217065
Standard enterprise	1247.00	1	12-13 days	219.0	1.213	4	100%	0	0	0	2020-07-24 04:33:22.217065
Viva Bags	1249.00	8	5-6 days	221.0	1.215	4	75%	0	0	0	2020-07-24 04:33:22.217065
BagStop	1175.00	58		147.0	1.143	3.5	57%	0	0	0	2020-07-24 04:33:22.217065
Backpack World	1290.00		5-6 days	262.0	1.2549	4.5	89%	0	0	0	2020-07-24 04:33:22.217065
PAXFUL	1299.00		11-13 days	271.0	1.2636			0	0	0	2020-07-24 04:33:22.217065
Deepsum Bags	1900.00		6-7 days	872.0	1.8482	5	100%	0	0	0	2020-07-24 04:33:22.217065
gsienterprises	1918.00	4		890.0	1.8658	3	50%	0	0	0	2020-07-24 04:33:22.217065
