Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1025.00	80		0.0	1.0	4.5	85%	1	0	1	2020-07-30 03:31:22.070120
TODAY'S DEAL	1028.00			3.0	1.0029	4	80%	1	0	0	2020-07-30 03:31:22.070120
DEALS AMAZING	1028.00			3.0	1.0029	4	80%	1	0	0	2020-07-30 03:31:22.070120
AnandEnterprisesForU	1028.00	11		3.0	1.0029	3.5	73%	1	0	0	2020-07-30 03:31:22.070120
RS ENTERPRISES	1028.00	18		3.0	1.0029	4	78%	1	0	0	2020-07-30 03:31:22.070120
Earth industries	1048.00	29		23.0	1.0224	3	44%	1	0	0	2020-07-30 03:31:22.070120
A Bags world	1059.50	62		34.5	1.0337	3.5	69%	1	0	0	2020-07-30 03:31:22.070120
BAGS HI BAG	1063.00	72		38.0	1.0371	3.5	69%	1	0	0	2020-07-30 03:31:22.070120
THE CONNECT	1066.00	8	10-11 days	41.0	1.04	4	75%	0	0	0	2020-07-30 03:31:22.070120
E-TECH RETAIL	1099.00	1	10-11 days	74.0	1.0722	5	100%	0	0	0	2020-07-30 03:31:22.070120
cloudind	1130.00			105.0	1.1024	4.5	90%	0	0	0	2020-07-30 03:31:22.070120
Standard enterprise	1247.00	1	12-17 days	222.0	1.2166	4	100%	0	0	0	2020-07-30 03:31:22.070120
Viva Bags	1249.00	8	5-6 days	224.0	1.2185	4	75%	0	0	0	2020-07-30 03:31:22.070120
BagStop	1175.00	58	11-12 days	150.0	1.1463	3.5	57%	0	0	0	2020-07-30 03:31:22.070120
Backpack World	1290.00		7-8 days	265.0	1.2585	4	83%	0	0	0	2020-07-30 03:31:22.070120
Deepsum Bags	1900.00	4	6-7 days	875.0	1.8537	5	100%	0	0	0	2020-07-30 03:31:22.070120
gsienterprises	1918.00	6	6-7 days	893.0	1.8712	3	50%	0	0	0	2020-07-30 03:31:22.070120
