Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	1149.00	70		0.0	1.0	4	83%	1	0	1	2020-07-16 05:17:02.414098
EFLIP BAGGSKART ECOMMERCE PVT LTD	1149.00	35	6-7 days	0.0	1.0	2.5	41%	0	0	0	2020-07-16 05:17:02.414098
Catchy Bags	1155.00	124		6.0	1.0052	4.5	96%	1	0	0	2020-07-16 05:17:02.414098
Digitaly yours	1185.00	36	7-8 days	36.0	1.0313	3	53%	0	0	0	2020-07-16 05:17:02.414098
Backpack World	1218.00		5-6 days	69.0	1.0601	4.5	94%	0	0	0	2020-07-16 05:17:02.414098
BagStop	1350.00	58		201.0	1.1749	3.5	57%	0	0	0	2020-07-16 05:17:02.414098
cloudind	1499.00		4-5 days	350.0	1.3046	4.5	87%	0	0	0	2020-07-16 05:17:02.414098
Harricane	1500.00	249	6-7 days	351.0	1.3055	3.5	65%	0	0	0	2020-07-16 05:17:02.414098
Standard enterprise	1550.00	1	10-11 days	401.0	1.349	4	100%	0	0	0	2020-07-16 05:17:02.414098
Brands India	1590.00	248		441.0	1.3838	4.5	89%	1	0	0	2020-07-16 05:17:02.414098
gsienterprises	2240.00	6	7-10 days	1091.0	1.9495	3	50%	0	0	0	2020-07-16 05:17:02.414098
Purvas Shoppe	2240.00	18	5-6 days	1091.0	1.9495	4.5	94%	0	0	0	2020-07-16 05:17:02.414098
