Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	290.00	59		0.0	1.0	4.5	91%	1	0	0	2020-08-26 21:20:06.951939
BAGS KART	290.00	81		0.0	1.0	4.5	92%	1	0	1	2020-08-26 21:20:06.951939
SiH	295.00	44		5.0	1.0172	4.5	93%	1	0	0	2020-08-26 21:20:06.951939
Desert Retail	301.00	28		11.0	1.0379	4	79%	0	0	0	2020-08-26 21:20:06.951939
Cloudtail India	330.00			40.0	1.1379	4.5	89%	1	1	0	2020-08-26 21:20:06.951939
Ganesh bag emporium	290.00		5-8 days	0.0	1.0			0	0	0	2020-08-26 21:20:06.951939
Pass ki dukan	291.00		5-8 days	1.0	1.0034	4.5	87%	0	0	0	2020-08-26 21:20:06.951939
Festivals	369.00	15		79.0	1.2724	3.5	63%	1	0	0	2020-08-26 21:20:06.951939
INDIA'S BEST COMPETITIVE PRICES	295.00		7-13 days	5.0	1.0172	2.5	34%	0	0	0	2020-08-26 21:20:06.951939
Bombay Bag House	399.00	64	7-8 days	109.0	1.3759			0	0	0	2020-08-26 21:20:06.951939
Big Bazaar	449.00			159.0	1.5483	3.5	60%	1	0	0	2020-08-26 21:20:06.951939
Chandinicolection	299.00		6-7 days	9.0	1.031			0	0	0	2020-08-26 21:20:06.951939
Shiva Assosciates	699.00		5-6 days	409.0	2.4103	3.5	57%	0	0	0	2020-08-26 21:20:06.951939
