Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Desert Retail	299.00	28		0.0	1.0	4	79%	0	0	1	2020-08-01 20:06:56.799803
BAGS KART	320.00	79		21.0	1.0702	4.5	92%	1	0	0	2020-08-01 20:06:56.799803
Cloudtail India	325.00			26.0	1.087	4.5	89%	1	1	0	2020-08-01 20:06:56.799803
Festivals	359.00			60.0	1.2007	3.5	60%	1	0	0	2020-08-01 20:06:56.799803
Pass ki dukan	299.00	14	9-10 days	0.0	1.0	4.5	86%	0	0	0	2020-08-01 20:06:56.799803
Ganesh bag emporium	299.00		9-10 days	0.0	1.0			0	0	0	2020-08-01 20:06:56.799803
INDIA'S BEST COMPETITIVE PRICES	349.00		8-9 days	50.0	1.1672	2.5	34%	0	0	0	2020-08-01 20:06:56.799803
Big Bazaar	475.00	38		176.0	1.5886	3	57%	1	0	0	2020-08-01 20:06:56.799803
SiH	499.00			200.0	1.6689	4.5	93%	1	0	0	2020-08-01 20:06:56.799803
LVDV	599.00	44	9-10 days	300.0	2.0033	4	73%	0	0	0	2020-08-01 20:06:56.799803
Sumraj India Udyog	699.00	19	2-5 days	400.0	2.3378	5	100%	0	0	0	2020-08-01 20:06:56.799803
